sku,nombre_producto,n_puntos,beta,alpha,r2
104538200,MOZZARELLA FINGERS AVIKO 1 KG 25 G,84.0,1.7752068371402512,-12.823922551176477,0.010014278759078173
104538210,Mini Ciabatta 17 G,15.0,0.08788949385942395,0.7754282884782902,2.1998163834568144e-31
104538220,MEDIA BAGUETTE 110 G,1.0,,,
104538230,CHURROS LISTOS 30 X 17G,23.0,0.8046872310248108,-6.149106467071133,0.00822357628341642
104538260,"PLANCHA TRES CAPRICHOS 1,8 KG",17.0,2.552506050975306,-21.750881381068968,0.2777903056834985
104538270,"PLANCHA SABOR QUESO/FRESA 1,95 KG",9.0,-0.4371417056295136,5.454731488514792,0.005823785823928338
104538280,"PLANCHA LIMÓN 2,21 KG",9.0,-0.41197828449495455,4.964483031976606,0.011739534560047334
104538290,PAN ROLL BLANCO 42 G,12.0,4.064564597468887,-30.407222043223616,0.027461379050296896
104538310,CIABATTA 140 G,5.0,2.3609634569501318e-15,1.9459101490552932,1.2012551138669196e-27
104538320,GRANOLA MIEL Y ALMENDRAS VIVO 330 G,69.0,7.074959726850943,-59.337069156858234,0.09428830171812562
104538330,NOTHOTDOG FS 4X10X68GR,1.0,,,
104538340,VARITAS DE REINETA APANADO BOLSA 400 GR,24.0,0.8178881869196649,-5.281876449280114,0.008053868703702444
104538350,REINETA FILETE S/P S/E 100-300 GR 1 KG,11.0,0.47959521392318494,-1.7947371281234943,0.001666879212210875
104538360,REINETA DE LOMITO APANADO 100 GR,12.0,5.079016705607297,-42.447376988670605,0.18760679479875428
104538370,NUGGETS DE REINETA APANADO BOLSA 400 GR,26.0,3.185595148329986,-25.223396750344644,0.08089306856553856
104538380, MERLUZA LOMITO AUSTRAL APANADO 100 GR,16.0,5.683343594650673,-48.215113467039586,0.1407052070247768
104538390,CROQUETA REINETA APANADO FLOWPACK 100 GR,22.0,1.4036489501635185,-11.018713227971155,0.007510869608588468
104538470,YOGHURT LIGHT MORA 120 GR COLUN,20.0,4.440837869283602,-32.013627125426986,0.09625722249106947
104538480,YOGHURT  LIGHT VAINILLA 120 GR COLUN,40.0,7.391584442387582,-54.37883668549471,0.45198323378362637
104538490,YOGHURT LIGHT DAMASCO 120 GR COLUN,23.0,9.535174038115299,-70.97594158065452,0.5310565797489694
104538500,YOGHURT LIGHT FRUTILLA 120 GR COLUN,27.0,5.521385379404546,-39.97909557808981,0.11639272657633187
104538510,YOGHURT LIGHT FRAMBUESA 120 GR COLUN,18.0,9.306582503618706,-69.11413488142881,0.36467395457201435
104538520,SAL DE MAR FINA LOBOS 900 G,66.0,4.342215189342069,-28.074459103896885,0.10316573567000649
104538530,QUESO GAUDA LAMINADO 500 GR,133.0,9.352722104570834,-78.1014745860956,0.1232682768557816
